num_features,features,accuracy,time_taken,epochs
170,"['open', 'high', 'low', 'close', 'volume', 'hl2', 'hlc3', 'ohlc4', 'ema_10_close', 'sma_10_close', 'ema_20_close', 'sma_20_close', 'ema_50_close', 'sma_50_close', 'ema_100_close', 'sma_100_close', 'ema_200_close', 'sma_200_close', 'ema_10_hl2', 'sma_10_hl2', 'ema_20_hl2', 'sma_20_hl2', 'ema_50_hl2', 'sma_50_hl2', 'ema_100_hl2', 'sma_100_hl2', 'ema_200_hl2', 'sma_200_hl2', 'ema_10_hlc3', 'sma_10_hlc3', 'ema_20_hlc3', 'sma_20_hlc3', 'ema_50_hlc3', 'sma_50_hlc3', 'ema_100_hlc3', 'sma_100_hlc3', 'ema_200_hlc3', 'sma_200_hlc3', 'ema_10_ohlc4', 'sma_10_ohlc4', 'ema_20_ohlc4', 'sma_20_ohlc4', 'ema_50_ohlc4', 'sma_50_ohlc4', 'ema_100_ohlc4', 'sma_100_ohlc4', 'ema_200_ohlc4', 'sma_200_ohlc4', 'BBL_20_2.0', 'BBM_20_2.0', 'BBU_20_2.0', 'BBB_20_2.0', 'BBP_20_2.0', 'corr_close_volume', 'bbp', 'rsi_6_close', 'rsi_14_close', 'rsi_21_close', 'rsi_30_close', 'rsi_50_close', 'rsi_6_hl2', 'rsi_14_hl2', 'rsi_21_hl2', 'rsi_30_hl2', 'rsi_50_hl2', 'rsi_6_hlc3', 'rsi_14_hlc3', 'rsi_21_hlc3', 'rsi_30_hlc3', 'rsi_50_hlc3', 'rsi_6_ohlc4', 'rsi_14_ohlc4', 'rsi_21_ohlc4', 'rsi_30_ohlc4', 'rsi_50_ohlc4', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'STOCHRSIk_14_14_3_3', 'STOCHRSId_14_14_3_3', 'willr', 'K', 'D', 'J', 'bop', 'close_return_1', 'volume_change_1', 'momentum_1', 'rolling_mean_1', 'close_return_2', 'volume_change_2', 'momentum_2', 'rolling_mean_2', 'rolling_std_2', 'zscore_2', 'close_return_3', 'volume_change_3', 'momentum_3', 'rolling_mean_3', 'rolling_std_3', 'zscore_3', 'close_return_5', 'volume_change_5', 'momentum_5', 'rolling_mean_5', 'rolling_std_5', 'zscore_5', 'close_return_7', 'volume_change_7', 'momentum_7', 'rolling_mean_7', 'rolling_std_7', 'zscore_7', 'close_return_9', 'volume_change_9', 'momentum_9', 'rolling_mean_9', 'rolling_std_9', 'zscore_9', 'close_return_14', 'volume_change_14', 'momentum_14', 'rolling_mean_14', 'rolling_std_14', 'zscore_14', 'close_return_21', 'volume_change_21', 'momentum_21', 'rolling_mean_21', 'rolling_std_21', 'zscore_21', 'close_return_30', 'volume_change_30', 'momentum_30', 'rolling_mean_30', 'rolling_std_30', 'zscore_30', 'close_return_50', 'volume_change_50', 'momentum_50', 'rolling_mean_50', 'rolling_std_50', 'zscore_50', 'close_return_100', 'volume_change_100', 'momentum_100', 'rolling_mean_100', 'rolling_std_100', 'zscore_100', 'obv', 'pvr', 'aobv', 'ttm_trend', 'ADX_14', 'DMP_14', 'DMN_14', 'CCI_14_0.015', 'CMO_14', 'MFI_14', 'ROC_10', 'TRIX_30_9', 'TRIXs_30_9', 'UO_7_14_28', 'WMA_10', 'inc', 'dec', 'cdl_doji', 'price_range', 'body', 'range_ratio']",0.7543010752688173,91.2628722190857,100
105,"['sma_10_hl2', 'volume_change_3', 'rsi_50_ohlc4', 'rsi_21_hl2', 'bbp', 'volume_change_2', 'zscore_30', 'pvr', 'rolling_std_5', 'momentum_7', 'zscore_2', 'DMN_14', 'volume_change_100', 'MACD_12_26_9', 'close_return_14', 'rolling_mean_50', 'ema_200_hl2', 'close_return_1', 'volume', 'volume_change_1', 'MACDs_12_26_9', 'momentum_2', 'close_return_9', 'rsi_6_hl2', 'momentum_3', 'close_return_2', 'rsi_6_close', 'volume_change_30', 'rsi_14_hlc3', 'rolling_std_2', 'price_range', 'momentum_1', 'UO_7_14_28', 'zscore_5', 'momentum_50', 'TRIXs_30_9', 'ADX_14', 'body', 'rolling_std_3', 'CMO_14', 'ttm_trend', 'rsi_6_hlc3', 'zscore_9', 'momentum_21', 'rsi_14_ohlc4', 'close_return_7', 'willr', 'DMP_14', 'cdl_doji', 'K', 'volume_change_14', 'rsi_21_hlc3', 'zscore_50', 'sma_200_hl2', 'rsi_30_hlc3', 'sma_100_hlc3', 'zscore_3', 'momentum_14', 'STOCHRSIk_14_14_3_3', 'rsi_14_close', 'J', 'range_ratio', 'rsi_14_hl2', 'inc', 'rolling_std_30', 'MACDh_12_26_9', 'volume_change_9', 'sma_50_close', 'D', 'sma_100_hl2', 'sma_50_hl2', 'rolling_std_9', 'momentum_30', 'close_return_30', 'momentum_5', 'sma_200_hlc3', 'ema_200_hlc3', 'zscore_21', 'close_return_21', 'rsi_30_hl2', 'bop', 'volume_change_7', 'close_return_3', 'volume_change_21', 'volume_change_50', 'CCI_14_0.015', 'zscore_7', 'volume_change_5', 'rsi_21_ohlc4', 'dec', 'close_return_50', 'BBL_20_2.0', 'BBU_20_2.0', 'rsi_6_ohlc4', 'ROC_10', 'zscore_14', 'rolling_std_14', 'close_return_5', 'rsi_50_hlc3', 'BBP_20_2.0', 'rolling_std_7', 'momentum_9', 'sma_50_hlc3', 'rsi_30_ohlc4', 'rsi_50_hl2']",0.75,33.409761905670166,84
56,"['K', 'rsi_6_hl2', 'momentum_3', 'close_return_2', 'rsi_6_close', 'rsi_21_hl2', 'rsi_21_hlc3', 'rsi_50_ohlc4', 'rsi_14_hlc3', 'rsi_30_hlc3', 'CCI_14_0.015', 'zscore_7', 'momentum_1', 'zscore_3', 'rsi_21_ohlc4', 'bbp', 'momentum_14', 'zscore_30', 'zscore_5', 'STOCHRSIk_14_14_3_3', 'rsi_14_close', 'pvr', 'ADX_14', 'J', 'dec', 'rsi_14_hl2', 'inc', 'rsi_6_ohlc4', 'MACDh_12_26_9', 'rolling_std_30', 'CMO_14', 'momentum_7', 'ttm_trend', 'rsi_6_hlc3', 'zscore_2', 'zscore_9', 'zscore_14', 'rolling_std_9', 'rsi_14_ohlc4', 'DMN_14', 'momentum_5', 'BBP_20_2.0', 'zscore_21', 'momentum_9', 'close_return_7', 'willr', 'rsi_30_hl2', 'bop', 'close_return_1', 'close_return_3', 'DMP_14', 'rsi_30_ohlc4', 'momentum_2', 'close_return_9', 'rsi_50_hl2', 'cdl_doji']",0.8,35.88935971260071,112
44,"['rsi_6_hl2', 'momentum_3', 'close_return_2', 'rsi_6_close', 'rsi_21_hl2', 'rsi_21_hlc3', 'rsi_14_hlc3', 'CCI_14_0.015', 'zscore_7', 'momentum_1', 'zscore_3', 'rsi_21_ohlc4', 'bbp', 'zscore_30', 'zscore_5', 'rsi_14_close', 'pvr', 'ADX_14', 'J', 'dec', 'rsi_14_hl2', 'inc', 'rsi_6_ohlc4', 'rolling_std_30', 'CMO_14', 'momentum_7', 'rsi_6_hlc3', 'zscore_2', 'zscore_9', 'zscore_14', 'rolling_std_9', 'rsi_14_ohlc4', 'DMN_14', 'BBP_20_2.0', 'zscore_21', 'willr', 'rsi_30_hl2', 'bop', 'close_return_1', 'close_return_3', 'DMP_14', 'rsi_30_ohlc4', 'momentum_2', 'cdl_doji']",0.8666666666666667,42.66282105445862,133
39,"['rsi_6_hl2', 'momentum_3', 'rsi_21_hlc3', 'rsi_6_close', 'rsi_21_hl2', 'rsi_14_hlc3', 'CCI_14_0.015', 'zscore_7', 'momentum_1', 'zscore_3', 'rsi_21_ohlc4', 'bbp', 'zscore_30', 'zscore_5', 'ADX_14', 'dec', 'J', 'rsi_14_hl2', 'inc', 'rsi_6_ohlc4', 'rolling_std_30', 'momentum_7', 'rsi_6_hlc3', 'zscore_2', 'zscore_9', 'zscore_14', 'rolling_std_9', 'rsi_14_ohlc4', 'DMN_14', 'BBP_20_2.0', 'zscore_21', 'willr', 'rsi_30_hl2', 'bop', 'close_return_3', 'DMP_14', 'rsi_30_ohlc4', 'momentum_2', 'cdl_doji']",0.8198924731182795,2.971116065979004,145
8,"['rsi_6_hl2', 'rsi_14_hl2', 'CCI_14_0.015', 'DMP_14', 'bbp', 'BBP_20_2.0', 'rsi_6_hlc3', 'J']",0.6559139784946236,24.003114461898804,1720
