num_features,features,accuracy,time_taken,epochs
170,"['open', 'high', 'low', 'close', 'volume', 'hl2', 'hlc3', 'ohlc4', 'ema_10_close', 'sma_10_close', 'ema_20_close', 'sma_20_close', 'ema_50_close', 'sma_50_close', 'ema_100_close', 'sma_100_close', 'ema_200_close', 'sma_200_close', 'ema_10_hl2', 'sma_10_hl2', 'ema_20_hl2', 'sma_20_hl2', 'ema_50_hl2', 'sma_50_hl2', 'ema_100_hl2', 'sma_100_hl2', 'ema_200_hl2', 'sma_200_hl2', 'ema_10_hlc3', 'sma_10_hlc3', 'ema_20_hlc3', 'sma_20_hlc3', 'ema_50_hlc3', 'sma_50_hlc3', 'ema_100_hlc3', 'sma_100_hlc3', 'ema_200_hlc3', 'sma_200_hlc3', 'ema_10_ohlc4', 'sma_10_ohlc4', 'ema_20_ohlc4', 'sma_20_ohlc4', 'ema_50_ohlc4', 'sma_50_ohlc4', 'ema_100_ohlc4', 'sma_100_ohlc4', 'ema_200_ohlc4', 'sma_200_ohlc4', 'BBL_20_2.0', 'BBM_20_2.0', 'BBU_20_2.0', 'BBB_20_2.0', 'BBP_20_2.0', 'corr_close_volume', 'bbp', 'rsi_6_close', 'rsi_14_close', 'rsi_21_close', 'rsi_30_close', 'rsi_50_close', 'rsi_6_hl2', 'rsi_14_hl2', 'rsi_21_hl2', 'rsi_30_hl2', 'rsi_50_hl2', 'rsi_6_hlc3', 'rsi_14_hlc3', 'rsi_21_hlc3', 'rsi_30_hlc3', 'rsi_50_hlc3', 'rsi_6_ohlc4', 'rsi_14_ohlc4', 'rsi_21_ohlc4', 'rsi_30_ohlc4', 'rsi_50_ohlc4', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'STOCHRSIk_14_14_3_3', 'STOCHRSId_14_14_3_3', 'willr', 'K', 'D', 'J', 'bop', 'close_return_1', 'volume_change_1', 'momentum_1', 'rolling_mean_1', 'close_return_2', 'volume_change_2', 'momentum_2', 'rolling_mean_2', 'rolling_std_2', 'zscore_2', 'close_return_3', 'volume_change_3', 'momentum_3', 'rolling_mean_3', 'rolling_std_3', 'zscore_3', 'close_return_5', 'volume_change_5', 'momentum_5', 'rolling_mean_5', 'rolling_std_5', 'zscore_5', 'close_return_7', 'volume_change_7', 'momentum_7', 'rolling_mean_7', 'rolling_std_7', 'zscore_7', 'close_return_9', 'volume_change_9', 'momentum_9', 'rolling_mean_9', 'rolling_std_9', 'zscore_9', 'close_return_14', 'volume_change_14', 'momentum_14', 'rolling_mean_14', 'rolling_std_14', 'zscore_14', 'close_return_21', 'volume_change_21', 'momentum_21', 'rolling_mean_21', 'rolling_std_21', 'zscore_21', 'close_return_30', 'volume_change_30', 'momentum_30', 'rolling_mean_30', 'rolling_std_30', 'zscore_30', 'close_return_50', 'volume_change_50', 'momentum_50', 'rolling_mean_50', 'rolling_std_50', 'zscore_50', 'close_return_100', 'volume_change_100', 'momentum_100', 'rolling_mean_100', 'rolling_std_100', 'zscore_100', 'obv', 'pvr', 'aobv', 'ttm_trend', 'ADX_14', 'DMP_14', 'DMN_14', 'CCI_14_0.015', 'CMO_14', 'MFI_14', 'ROC_10', 'TRIX_30_9', 'TRIXs_30_9', 'UO_7_14_28', 'WMA_10', 'inc', 'dec', 'cdl_doji', 'price_range', 'body', 'range_ratio']",0.7987117552334944,1715.6794474124908,803
111,"['pvr', 'zscore_2', 'CCI_14_0.015', 'sma_50_hlc3', 'K', 'volume_change_2', 'sma_50_close', 'dec', 'range_ratio', 'momentum_2', 'zscore_7', 'momentum_30', 'ema_200_hl2', 'MFI_14', 'BBP_20_2.0', 'rolling_mean_1', 'zscore_9', 'rolling_std_5', 'volume_change_21', 'D', 'rolling_std_2', 'rsi_6_close', 'sma_200_close', 'TRIXs_30_9', 'rsi_21_hlc3', 'rsi_14_close', 'volume_change_50', 'sma_100_hlc3', 'close_return_50', 'zscore_21', 'volume_change_100', 'close_return_7', 'J', 'volume_change_30', 'momentum_14', 'volume_change_14', 'close_return_21', 'rolling_std_30', 'DMP_14', 'close_return_100', 'rsi_21_ohlc4', 'rolling_std_9', 'price_range', 'ema_200_close', 'momentum_21', 'ema_10_hlc3', 'ema_200_hlc3', 'zscore_5', 'rolling_std_3', 'volume_change_9', 'momentum_9', 'zscore_14', 'CMO_14', 'bbp', 'volume_change_3', 'rolling_std_21', 'ema_50_hl2', 'rsi_50_hlc3', 'STOCHRSIk_14_14_3_3', 'close_return_30', 'volume_change_5', 'zscore_30', 'rsi_50_ohlc4', 'rolling_mean_100', 'body', 'cdl_doji', 'willr', 'DMN_14', 'close_return_1', 'rsi_21_hl2', 'bop', 'rsi_30_hl2', 'rsi_6_hl2', 'rsi_50_hl2', 'UO_7_14_28', 'sma_100_hl2', 'momentum_5', 'rsi_30_hlc3', 'inc', 'sma_100_close', 'zscore_3', 'rolling_mean_9', 'rsi_14_hl2', 'close_return_3', 'volume', 'MACDh_12_26_9', 'momentum_1', 'volume_change_7', 'rsi_14_ohlc4', 'rsi_50_close', 'TRIX_30_9', 'sma_200_hl2', 'rsi_6_hlc3', 'rolling_mean_50', 'rsi_14_hlc3', 'rsi_30_ohlc4', 'sma_20_hl2', 'close_return_14', 'momentum_3', 'sma_200_hlc3', 'momentum_100', 'close_return_5', 'MACDs_12_26_9', 'volume_change_1', 'ROC_10', 'MACD_12_26_9', 'close_return_2', 'close_return_9', 'momentum_7', 'rsi_6_ohlc4', 'sma_50_hl2']",0.78341384863124,1025.9227378368378,880
53,"['zscore_3', 'pvr', 'zscore_2', 'CCI_14_0.015', 'rsi_14_hl2', 'close_return_3', 'DMP_14', 'momentum_1', 'MACDh_12_26_9', 'rsi_21_ohlc4', 'rsi_14_ohlc4', 'rsi_50_hlc3', 'STOCHRSIk_14_14_3_3', 'rsi_6_hlc3', 'zscore_30', 'rsi_50_ohlc4', 'dec', 'rsi_14_hlc3', 'momentum_2', 'momentum_21', 'zscore_7', 'momentum_30', 'rsi_30_ohlc4', 'range_ratio', 'MFI_14', 'BBP_20_2.0', 'zscore_9', 'cdl_doji', 'zscore_5', 'momentum_3', 'rsi_6_close', 'close_return_5', 'willr', 'rsi_21_hlc3', 'momentum_9', 'rsi_14_close', 'zscore_14', 'DMN_14', 'close_return_1', 'CMO_14', 'rsi_21_hl2', 'bop', 'close_return_2', 'rsi_30_hl2', 'bbp', 'rsi_6_hl2', 'rsi_50_hl2', 'UO_7_14_28', 'zscore_21', 'momentum_5', 'rsi_30_hlc3', 'rsi_6_ohlc4', 'inc']",0.7946859903381642,3344.9963641166687,5000
45,"['zscore_3', 'pvr', 'zscore_2', 'CCI_14_0.015', 'rsi_14_hl2', 'close_return_3', 'DMP_14', 'momentum_1', 'rsi_21_ohlc4', 'rsi_14_ohlc4', 'rsi_50_hlc3', 'rsi_6_hlc3', 'zscore_30', 'rsi_50_ohlc4', 'dec', 'rsi_14_hlc3', 'momentum_2', 'zscore_7', 'rsi_30_ohlc4', 'MFI_14', 'BBP_20_2.0', 'zscore_9', 'zscore_5', 'momentum_3', 'rsi_6_close', 'close_return_5', 'rsi_21_hlc3', 'rsi_14_close', 'zscore_14', 'DMN_14', 'close_return_1', 'CMO_14', 'rsi_21_hl2', 'bop', 'close_return_2', 'rsi_30_hl2', 'bbp', 'rsi_6_hl2', 'rsi_50_hl2', 'UO_7_14_28', 'zscore_21', 'momentum_5', 'rsi_30_hlc3', 'rsi_6_ohlc4', 'inc']",0.8123993558776168,3380.703986644745,4787
38,"['zscore_3', 'zscore_2', 'CCI_14_0.015', 'rsi_14_hl2', 'DMP_14', 'momentum_1', 'rsi_21_ohlc4', 'rsi_14_ohlc4', 'rsi_6_hlc3', 'zscore_30', 'rsi_50_ohlc4', 'dec', 'rsi_14_hlc3', 'momentum_2', 'zscore_7', 'rsi_30_ohlc4', 'MFI_14', 'BBP_20_2.0', 'zscore_9', 'zscore_5', 'momentum_3', 'rsi_6_close', 'rsi_21_hlc3', 'zscore_14', 'DMN_14', 'close_return_1', 'rsi_21_hl2', 'bop', 'rsi_30_hl2', 'bbp', 'zscore_21', 'rsi_6_hl2', 'rsi_50_hl2', 'UO_7_14_28', 'momentum_5', 'rsi_30_hlc3', 'rsi_6_ohlc4', 'inc']",0.8180354267310789,3250.9716634750366,4529
4,"['rsi_50_ohlc4', 'momentum_3', 'rsi_50_hl2', 'momentum_1']",0.5797101449275363,54.70918869972229,94
1,['momentum_1'],0.5700483091787439,3.6876375675201416,37
